Timestamp,AdapterStatus,MediaConnectionState,LinkSpeed,ReceivedUnicastPackets,SentUnicastPackets,ReceivedPacketErrors,ReceivedDiscardedPackets,OutboundPacketErrors,OutboundDiscardedPackets,RxDelta,TxDelta,GatewayIPv4,GatewayArpState,GatewayPingSuccessCount,GatewayPingAvgMs,DefaultRouteIfIndex,ProfileName,IPv4Connectivity,CycleMs
2026-09-10 22:28:41.128,Up,Connected,300 Mbps,5984017,5653914,0,0,0,0,0,0,192.168.0.1,Reachable,1,3,12,702,Internet,4446
2026-09-10 22:28:46.594,Up,Connected,300 Mbps,5984086,5653973,0,0,0,0,69,59,192.168.0.1,Reachable,1,26,12,702,Internet,283
2026-09-10 22:28:47.896,Up,Connected,300 Mbps,5984162,5654144,0,0,0,0,76,171,192.168.0.1,Reachable,1,25,12,702,Internet,268
2026-09-10 22:28:49.174,Up,Connected,300 Mbps,5984280,5654222,0,0,0,0,118,78,192.168.0.1,Reachable,1,4,12,702,Internet,217
2026-09-10 22:28:50.408,Up,Connected,300 Mbps,5984439,5654365,0,0,0,0,159,143,192.168.0.1,Reachable,1,4,12,702,Internet,338
2026-09-10 22:28:51.760,Up,Connected,300 Mbps,5984536,5654479,0,0,0,0,97,114,192.168.0.1,Reachable,1,3,12,702,Internet,216
2026-09-10 22:28:52.993,Up,Connected,300 Mbps,5984699,5654681,0,0,0,0,163,202,192.168.0.1,Reachable,1,6,12,702,Internet,214
2026-09-10 22:28:54.225,Up,Connected,300 Mbps,5984793,5654753,0,0,0,0,94,72,192.168.0.1,Reachable,1,3,12,702,Internet,226
2026-09-10 22:28:55.460,Up,Connected,300 Mbps,5986649,5659018,0,0,0,0,1856,4265,192.168.0.1,Reachable,1,15,12,702,Internet,233
2026-09-10 22:28:56.705,Up,Connected,300 Mbps,5986725,5659557,0,0,0,0,76,539,192.168.0.1,Reachable,1,12,12,702,Internet,246
2026-09-10 22:28:57.970,Up,Connected,300 Mbps,5988392,5663935,0,0,0,0,1667,4378,192.168.0.1,Reachable,1,3,12,702,Internet,214
2026-09-10 22:28:59.202,Up,Connected,300 Mbps,5988474,5664019,0,0,0,0,82,84,192.168.0.1,Reachable,1,10,12,702,Internet,229
2026-09-10 22:29:00.442,Up,Connected,300 Mbps,5988525,5664059,0,0,0,0,51,40,192.168.0.1,Reachable,1,3,12,702,Internet,220
2026-09-10 22:29:01.670,Up,Connected,300 Mbps,5989747,5667708,0,0,0,0,1222,3649,192.168.0.1,Reachable,1,23,12,702,Internet,240
2026-09-10 22:29:02.919,Up,Connected,300 Mbps,5990273,5668851,0,0,0,0,526,1143,192.168.0.1,Reachable,1,26,12,702,Internet,296
2026-09-10 22:29:04.234,Up,Connected,300 Mbps,5990482,5669687,0,0,0,0,209,836,192.168.0.1,Reachable,1,3,12,702,Internet,206
2026-09-10 22:29:05.448,Up,Connected,300 Mbps,5990549,5669738,0,0,0,0,67,51,192.168.0.1,Reachable,1,10,12,702,Internet,233
2026-09-10 22:29:06.695,Up,Connected,300 Mbps,5990599,5669789,0,0,0,0,50,51,192.168.0.1,Reachable,1,6,12,702,Internet,206
2026-09-10 22:29:07.917,Up,Connected,300 Mbps,5990658,5669829,0,0,0,0,59,40,192.168.0.1,Reachable,1,5,12,702,Internet,289
2026-09-10 22:29:09.215,Up,Connected,300 Mbps,5990734,5669879,0,0,0,0,76,50,192.168.0.1,Reachable,1,3,12,702,Internet,240
2026-09-10 22:29:10.466,Up,Connected,300 Mbps,5990792,5669923,0,0,0,0,58,44,192.168.0.1,Reachable,1,3,12,702,Internet,233
2026-09-10 22:29:11.712,Up,Connected,300 Mbps,5990860,5669989,0,0,0,0,68,66,192.168.0.1,Reachable,1,3,12,702,Internet,221
2026-09-10 22:29:12.955,Up,Connected,300 Mbps,5990974,5670046,0,0,0,0,114,57,192.168.0.1,Reachable,1,3,12,702,Internet,241
2026-09-10 22:29:14.208,Up,Connected,300 Mbps,5991076,5670138,0,0,0,0,102,92,192.168.0.1,Reachable,1,41,12,702,Internet,350
