Timestamp,AdapterStatus,MediaConnectionState,LinkSpeed,ReceivedUnicastPackets,SentUnicastPackets,ReceivedPacketErrors,ReceivedDiscardedPackets,OutboundPacketErrors,OutboundDiscardedPackets,RxDelta,TxDelta,GatewayIPv4,GatewayArpState,GatewayPingSuccessCount,GatewayPingAvgMs,DefaultRouteIfIndex,ProfileName,IPv4Connectivity,CycleMs
2026-09-10 16:48:20.331,Up,Connected,300 Mbps,4256564,4404836,0,0,0,0,0,0,192.168.0.1,Reachable,1,10,12,702,Internet,3776
2026-09-10 16:48:25.121,Up,Connected,300 Mbps,4256677,4404898,0,0,0,0,113,62,192.168.0.1,Reachable,1,3,12,702,Internet,217
2026-09-10 16:48:26.354,Up,Connected,300 Mbps,4256716,4404927,0,0,0,0,39,29,192.168.0.1,Reachable,1,3,12,702,Internet,220
2026-09-10 16:48:27.580,Up,Connected,300 Mbps,4256742,4405462,0,0,0,0,26,535,192.168.0.1,Reachable,1,6,12,702,Internet,228
2026-09-10 16:48:28.817,Up,Connected,300 Mbps,4256881,4405627,0,0,0,0,139,165,192.168.0.1,Reachable,1,5,12,702,Internet,219
2026-09-10 16:48:30.046,Up,Connected,300 Mbps,4256909,4405648,0,0,0,0,28,21,192.168.0.1,Reachable,1,4,12,702,Internet,217
2026-09-10 16:48:31.285,Up,Connected,300 Mbps,4256964,4405687,0,0,0,0,55,39,192.168.0.1,Reachable,1,3,12,702,Internet,245
2026-09-10 16:48:32.548,Up,Connected,300 Mbps,4257052,4405767,0,0,0,0,88,80,192.168.0.1,Reachable,1,4,12,702,Internet,203
2026-09-10 16:48:33.771,Up,Connected,300 Mbps,4257298,4405871,0,0,0,0,246,104,192.168.0.1,Reachable,1,3,12,702,Internet,209
2026-09-10 16:48:34.988,Up,Connected,300 Mbps,4257348,4406062,0,0,0,0,50,191,192.168.0.1,Reachable,1,3,12,702,Internet,226
2026-09-10 16:48:36.224,Up,Connected,300 Mbps,4257371,4406078,0,0,0,0,23,16,192.168.0.1,Reachable,1,3,12,702,Internet,208
2026-09-10 16:48:37.443,Up,Connected,300 Mbps,4257413,4406103,0,0,0,0,42,25,192.168.0.1,Reachable,1,4,12,702,Internet,209
2026-09-10 16:48:38.667,Up,Connected,300 Mbps,4257439,4406124,0,0,0,0,26,21,192.168.0.1,Reachable,1,3,12,702,Internet,206
2026-09-10 16:48:39.885,Up,Connected,300 Mbps,4257486,4406160,0,0,0,0,47,36,192.168.0.1,Reachable,1,4,12,702,Internet,220
2026-09-10 16:48:41.116,Up,Connected,300 Mbps,4257513,4406178,0,0,0,0,27,18,192.168.0.1,Probe,1,3,12,702,Internet,232
